DEBUG 2026-03-18 17:55:33,526 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\pygments\styles\__init__.py first seen with mtime 1742794872.2928655
DEBUG 2026-03-18 17:55:33,526 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\asyncio\protocols.py first seen with mtime 1741683479.5197022
DEBUG 2026-03-18 17:55:33,527 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\serializers\__init__.py first seen with mtime 1773824971.3793023
DEBUG 2026-03-18 17:55:33,527 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\langbulgarianmodel.py first seen with mtime 1769071580.4395578
DEBUG 2026-03-18 17:55:33,528 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1773824967.6186235
DEBUG 2026-03-18 17:55:33,529 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\django\core\checks\compatibility\__init__.py first seen with mtime 1773824971.2309644
DEBUG 2026-03-18 17:55:33,529 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\gettext.py first seen with mtime 1741683480.6428344
DEBUG 2026-03-18 17:55:33,530 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\langrussianmodel.py first seen with mtime 1769071580.4395578
DEBUG 2026-03-18 17:55:33,531 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\DLLs\_sqlite3.pyd first seen with mtime 1770253359.6059983
DEBUG 2026-03-18 17:55:33,531 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\DLLs\_ctypes.pyd first seen with mtime 1770253359.3773403
DEBUG 2026-03-18 17:55:33,532 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\packaging\_manylinux.py first seen with mtime 1770203327.1464765
DEBUG 2026-03-18 17:55:33,533 autoreload 19620 20300 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.3312.0_x64__qbz5n2kfra8p0\Lib\email\_policybase.py first seen with mtime 1770253505.466356
DEBUG 2026-03-18 17:55:33,533 autoreload 19620 20300 File C:\Users\admin\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\chardet\codingstatemachine.py first seen with mtime 1769071580.4083295
